Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
17722-15727,SG,Ben,,McLemore,7.921875,32,3500,SAC@MEM,SAC,MEM,,
17722-9714,SG,DeMar,,DeRozan,40.9309518,42,9300,TOR@CHA,TOR,CHA,,
17722-9535,PG,Kyle,,Lowry,39.98536645,41,8800,TOR@CHA,TOR,CHA,,
17722-14503,C,Jonas,,Valanciunas,25.95249939,40,5700,TOR@CHA,TOR,CHA,,
17722-14529,PG,Cory,,Joseph,17.73658566,41,4400,TOR@CHA,TOR,CHA,,
17722-16008,PF,Jared,,Sullinger,11.60000038,1,4000,TOR@CHA,TOR,CHA,,
17722-16405,SF,Terrence,,Ross,16.88048721,41,3800,TOR@CHA,TOR,CHA,,
17722-58378,C,Jakob,,Poeltl,6.587500254,24,3500,TOR@CHA,TOR,CHA,,
17722-60021,PF,Pascal,,Siakam,11.44102595,39,3500,TOR@CHA,TOR,CHA,,
17722-24247,PG,Fred,,VanVleet,5.446154081,13,3500,TOR@CHA,TOR,CHA,,
17722-55058,SF,Bruno,,Caboclo,2.087500095,8,3500,TOR@CHA,TOR,CHA,,
17722-16293,SG,Norman,,Powell,10.41578915,38,3500,TOR@CHA,TOR,CHA,,
17722-40203,C,Rudy,,Gobert,33.6418599,43,7800,UTA@DAL,UTA,DAL,,
17722-12366,SF,Gordon,,Hayward,34.98888821,36,7400,UTA@DAL,UTA,DAL,,
17722-9703,PG,George,,Hill,29.99473813,19,6100,UTA@DAL,UTA,DAL,,
17722-12351,PF,Derrick,,Favors,19.875,28,5400,UTA@DAL,UTA,DAL,,
17722-59318,SF,Joe,,Ingles,13.95116336,43,4000,UTA@DAL,UTA,DAL,,
17722-9447,SF,Joe,,Johnson,14.36190505,42,3600,UTA@DAL,UTA,DAL,,
17722-9471,PF,Boris,,Diaw,9.74117683,34,3600,UTA@DAL,UTA,DAL,,
17722-58461,PF,Trey,,Lyles,15.27674475,43,3500,UTA@DAL,UTA,DAL,,
17722-23189,PF,Joel,,Bolomboy,2.722222222,9,3500,UTA@DAL,UTA,DAL,,
17722-14510,SG,Alec,,Burks,4.199999946,7,3500,UTA@DAL,UTA,DAL,,
17722-14533,PG,Shelvin,,Mack,14.74390244,41,3500,UTA@DAL,UTA,DAL,,
17722-55055,PG,Dante,,Exum,10.79374981,32,3500,UTA@DAL,UTA,DAL,,
17722-40208,PG,Raul,,Neto,5.377272866,22,3500,UTA@DAL,UTA,DAL,,
17722-15736,C,Jeff,,Withey,7.346153846,26,3500,UTA@DAL,UTA,DAL,,
