X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,date
matchuplink,501502,7:00p,PortlandCharlotteOptions,649-1FS-SE,218 -110-6 -110,50.7%49.3%,217½ -107-5½ +100,217½ -110-5½ -110,217 -110-5½ -105,217½ -115-5 -105,217½ -105-5½ -105,217 -110-5½ -105,218 -110-5½ -110,217 -110-5½ -105,217½ -110-5½ -110,217½ -115-5 -105,2017-01-18
matchuplink,503504,7:00p,MemphisWashingtonOptions,642CSN-DC,205½ -110-4 -110,49.9%50.1%,208 -108-2 -106,208 -110-2 -110,208 -110-2 -110,208 -110-2 -112,208½ -105-2 -105,208 -110-2 -110,208 -110-2½ -110,208 -110-2 -110,208 -110-2 -110,208 -110-2 -112,2017-01-18
matchuplink,505506,7:00p,TorontoPhiladelphiaOptions,CSN-PH,-6 -110212 -110,55.7%44.3%,-6 -101216 -113,-6 -110215½ -110,-6 -110215 -110,-5½ -110215½ -110,-6 -105215½ -105,-6 -110215 -110,-6 -110215 -115,-6 -110215 -110,-6 -110215½ -110,-5½ -110215½ -110,2017-01-18
matchuplink,507508,7:30p,New YorkBostonOptions,630CSN-NE,220 -110-8 -110,43.4%56.6%,218½ -108-9 +102,218½ -110-8½ -110,218 -110-8½ -110,218½ -110-9 -105,219 -105-8½ -105,218 -110-8½ -110,219 -110-9 -110,218 -110-8½ -110,218½ -110-8½ -110,218½ -110-9 -105,2017-01-18
matchuplink,509510,8:00p,OrlandoNew OrleansOptions,FS-NO676-4,209½ -110-6 -105,45.1%54.9%,211½ -107-5½ -109,210½ -110-5½ -110,212 -110-6 -105,211½ -115-5½ -115,211½ -105-6 -105,212 -110-6 -105,211 -115-5½ -115,212 -110-6 -105,210½ -110-6 -110,211½ -115-5½ -115,2017-01-18
matchuplink,511512,8:00p,AtlantaDetroitOptions,ESPN206,PK -110204 -110,56.7%43.3%,-2½ -101199 -106,-2½ -110199½ -110,-2½ -112198½ -110,-2½ -115199½ -115,-3 -105199½ -105,-2½ -112198½ -110,-3 -110201 -115,-2½ -112198½ -110,-2½ -110199½ -110,-2½ -115199½ -115,2017-01-18
matchuplink,513514,8:00p,MilwaukeeHoustonOptions,ESPNROOT SPORTS,229 -110-8½ -110,51.8%48.2%,226 -109-6½ +102,226 -110-6½ -110,225½ -110-6½ -105,226 -110-6 -115,227 -105-6½ -105,225½ -110-6½ -105,227 -110-7 -105,225½ -110-6½ -105,226½ -110-6½ -110,226 -110-6 -115,2017-01-18
matchuplink,515516,10:30p,IndianaSacramentoOptions,698CSN-CA,-1 -110217 -110,44.0%56.0%,212½ -110-2½ -110,213 -110-2½ -110,214 -110-2 -115,213 -115-2½ -115,214 -105-2½ -105,214 -110-2½ -115,214 -115-3 -105,214 -110-2 -115,213½ -110-2½ -110,213 -115-2½ -115,2017-01-18
matchuplink,517518,10:30p,Oklahoma CityGolden StateOptions,ESPN206,226 -110-12½ -110,42.5%57.5%,230½ -110-15 -102,230½ -110-15 -110,231 -110-14½ -115,231 -113-15 -110,231 -105-15 -105,231 -110-14½ -115,232 -115-15 -115,231 -110-14½ -115,230½ -110-15 -110,231 -113-15 -110,2017-01-18
matchuplink,701702,7:30p,TorontoBrooklynOptions,YES631,-11 -110228 -110,54.6%45.4%,-8 -110224 -114,-8 -110223½ -110,-8 -110223 -110,-8 -110224½ -110,-8½ -105224 -105,-8 -110223 -110,-8½ -110225 -110,-8 -110223 -110,-8 -110225 -110,-8 -110224½ -110,2017-01-17
matchuplink,703704,7:30p,HoustonMiamiOptions,NBA TV216,-9½ -110221 -110,60.9%39.1%,-7 -101221 -110,-7 -110221½ -110,-7 -110222 -110,-7 -113221 -110,-7½ -105221½ -105,-7 -110222 -110,-8 -115222 -110,-7 -110222 -110,-7½ -105221½ -110,-7 -113221 -110,2017-01-17
matchuplink,705706,8:00p,DallasChicagoOptions,665CSN-CH,197½ -110-5 -110,47.9%52.1%,197½ -115-4½ -109,197½ -110-4½ -110,197½ -110-4½ -110,196½ -120-4½ -110,198 -105-4½ -105,197½ -110-4½ -110,197 -115-5 -110,197½ -110-4½ -110,197½ -110-4½ -115,196½ -120-4½ -110,2017-01-17
matchuplink,707708,8:30p,MinnesotaSan AntonioOptions,FS-SW676,208 -110-12 -110,37.2%62.8%,202 -109-12 +102,202 -110-12 -110,202½ -110-12 -110,202 -110-12 -110,202 -105-12 -105,202½ -110-12½ -110,202 -115-12½ -110,202½ -110-12 -110,202½ -110-12½ -105,202 -110-12 -110,2017-01-17
matchuplink,709710,10:30p,DenverL.A. LakersOptions,NBA TV216,-1 -110227 -110,47.5%52.5%,-1 -101230½ -106,-1 -110230½ -110,PK -110230½ -110,PK -110230 -115,-1 -105230½ -105,-1 -110230½ -110,-1 -105230 -110,PK -110230½ -110,-1 -105230 -110,PK -110230 -115,2017-01-17
matchuplink,501502,1:00p,AtlantaNew YorkOptions,NBA TV216,-3 -110208 -110,58.9%41.1%,-2 -103210½ -107,-2½ -110210½ -110,-2 -110210 -110,-2 -110210½ -110,-2½ -105210½ -105,-2 -110210 -110,-3½ -105210 -110,-2 -110210 -110,-2½ -110210½ -110,-2 -110210½ -110,2017-01-16
matchuplink,503504,2:00p,PortlandWashingtonOptions,642CSN-DC,218½ -110-4 -110,0.0%0.0%,219½ -110-3½ -106,219½ -110-3½ -110,219½ -110-3½ -110,219½ -115-3½ -110,220 -105-4 -105,220½ -110-3½ -110,220 -110-4½ -105,220½ -110-3½ -110,219½ -110-3½ -110,219½ -115-3½ -110,2017-01-16
matchuplink,505506,3:30p,PhiladelphiaMilwaukeeOptions,FS-WI668-1,208½ -110-8½ -110,48.5%51.5%,208½ -110-9 -105,208½ -110-9 -110,208 -110-8½ -110,208½ -115-8½ -115,208½ -105-8½ -105,208 -110-8½ -110,208 -110-8½ -110,208 -110-8½ -110,207½ -110-8½ -110,208½ -115-8½ -115,2017-01-16
matchuplink,507508,4:00p,New OrleansIndianaOptions,NBA TV216,213½ -110-6 -110,53.4%46.6%,214½ -105-5 -106,214½ -110-5 -110,215 -110-5 -110,214½ -110-5 -110,214½ -105-5 -105,215 -110-5 -110,215 -115-5½ -105,215 -110-5 -110,214½ -110-5 -110,214½ -110-5 -110,2017-01-16
matchuplink,509510,5:00p,OrlandoDenverOptions,ALTNBA TV,221½ -110-5 -110,0.0%0.0%,223½ -107-6 -105,224 -110-5½ -110,224 -110-5½ -110,223½ -115-5½ -115,224 -105-5½ -105,224 -110-5½ -110,224 -110-6 -110,224 -110-5½ -110,223½ -110-5½ -110,223½ -115-5½ -115,2017-01-16
matchuplink,511512,7:30p,CharlotteBostonOptions,630CSN-NE,217 -110-5 -110,38.7%61.3%,217 -106-5 -106,217 -110-5 -110,217½ -110-5½ -105,217 -110-5 -113,217½ -105-5 -105,217 -110-5½ -110,218 -110-6 -105,217½ -110-5½ -105,217 -110-5 -110,217 -110-5 -113,2017-01-16
matchuplink,513514,8:00p,ClevelandGolden StateOptions,TNT245,225½ -110-8 -110,48.1%51.9%,227½ -105-9 -107,227½ -110-9 -110,227½ -110-9 -115,227½ -110-9 -110,228 -105-9½ -105,227½ -110-9 -115,228 -115-9 -110,227½ -110-9 -115,227½ -110-9 -110,227½ -110-9 -110,2017-01-16
matchuplink,515516,9:00p,UtahPhoenixOptions,686FS-AZ,-4½ -110203½ -110,58.3%41.7%,-6 -108205 -109,-6½ -110205 -110,-6½ -110205 -110,-6 -112205 -110,-6½ -105205 -105,-6½ -110205 -110,-6½ -115205 -110,-6½ -110205 -110,-6½ -110205 -110,-6 -112205 -110,2017-01-16
matchuplink,517518,10:30p,Oklahoma CityL.A. ClippersOptions,TNT245,211½ -110-7½ -110,54.1%45.9%,218 -110-8½ -110,218 -110-8½ -110,218½ -110-8½ -110,218 -110-8 -115,218½ -105-8½ -105,218½ -110-8½ -110,219 -110-8 -105,218½ -110-8½ -110,218½ -110-8½ -105,218 -110-8 -115,2017-01-16
matchuplink,851852,3:00p,New YorkTorontoOptions,MSG634,218 -110-10 -105,54.5%45.5%,219½ -110-10 -110,219½ -110-10 -110,219 -110-10 -110,219½ -110-10 -115,219½ -105-10 -105,219 -110-10 -110,220 -115-10½ -110,219 -110-10 -110,219½ -110-10 -110,219½ -110-10 -115,2017-01-15
matchuplink,853854,3:00p,MilwaukeeAtlantaOptions,649FS-SE,210 -110-4 -110,49.5%50.5%,205½ -108-4 -105,205½ -110-4 -110,205 -110-4 -110,205½ -110-4 -115,206 -105-4 -105,205 -110-4 -110,206 -110-4 -110,205 -110-4 -110,205½ -110-4 -110,205½ -110-4 -115,2017-01-15
matchuplink,855856,2:00p,MinnesotaDallasOptions,FS-SW676,195½ -110-1½ -105,50.5%49.5%,-1½ -105198½ -108,PK -110198½ -110,-1 -110198½ -110,-1 -110198 -115,PK -105198½ -105,-1 -110198½ -110,PK -110197 -115,-1 -110198½ -110,PK -110197½ -110,-1 -110198 -115,2017-01-15
matchuplink,857858,6:00p,HoustonBrooklynOptions,YES631,-10 -110229 -110,39.5%60.5%,-14 -103234½ -109,-14 -110234½ -110,-14 -110234½ -110,-14 -110234½ -110,-14 -105235 -105,-14 -110234½ -110,-14½ -110235 -110,-14 -110234½ -110,-14½ -105234½ -110,-14 -110234½ -110,2017-01-15
matchuplink,859860,9:00p,ChicagoMemphisOptions,ESPN206,191½ -110-7½ -110,37.6%62.4%,193½ -105-8 -106,193 -110-8½ -110,193 -110-8½ -110,193 -115-8½ -110,193 -105-8½ -105,193 -110-8½ -110,193 -115-8½ -110,193 -110-8½ -110,193 -110-8½ -110,193 -115-8½ -110,2017-01-15
matchuplink,861862,9:00p,Oklahoma CitySacramentoOptions,698CSN-CA,PK -110213 -110,40.8%59.2%,-1½ -110213½ -110,-1½ -110213½ -110,-1½ -110213½ -110,-1½ -115213½ -110,-2 -105214 -105,-1½ -110213½ -110,-2½ -105214 -110,-1½ -110213½ -110,-1½ -110213½ -110,-1½ -115213½ -110,2017-01-15
matchuplink,863864,9:30p,DetroitL.A. LakersOptions,691TWC-SN,-2 -110214½ -110,46.1%53.9%,-2 -107213 -108,-2 -108213 -108,-2 -110213 -110,-2 -115213 -110,-2 -105213½ -105,-2 -110213 -110,-2 -110213 -115,-2 -110213 -110,-2 -110213 -110,-2 -115213 -110,2017-01-15
matchuplink,501502,3:30p,L.A. LakersL.A. ClippersOptions,PRIME693,215 -110-9½ -110,100.0%0.0%,220 -105-11½ -100,219½ -110-11½ -110,220 -110-11½ -105,220 -115-11½ -105,220½ -105-11½ -105,220 -110-11½ -105,220 -115-11½ -110,220 -110-11½ -105,219½ -110-11½ -110,220 -115-11½ -105,2017-01-14
matchuplink,503504,5:00p,New OrleansChicagoOptions,665CSN-CH,202 -110-2 -110,60.0%40.0%,206½ -105-3½ -102,206½ -107-3½ -105,206½ -110-3½ -110,206½ -110-3½ -110,206½ -105-3½ -105,206½ -110-3½ -110,206 -115-3½ -115,206½ -110-3½ -110,206½ -110-3½ -110,206½ -110-3½ -110,2017-01-14
matchuplink,505506,6:00p,San AntonioPhoenixOptions,NBA TV216,-10 -110214½ -110,33.3%66.7%,-12½ -110213½ -105,-12½ -101212½ -105,-12½ -110213½ -110,-12½ -105213 -110,-12½ -105213 -105,-12½ -110213½ -110,-12½ -115213 -115,-12½ -110213½ -110,-12½ -110212 -110,-12½ -105213 -110,2017-01-14
matchuplink,507508,8:00p,PhiladelphiaWashingtonOptions,642CSN-DC,207 -110-9 -110,35.1%64.9%,210½ -108-10 -100,210½ -110-10 -110,210½ -110-10 -110,210½ -110-10 -108,210 -105-10 -105,210½ -110-10 -110,210 -115-10 -115,210½ -110-10 -110,210½ -110-10 -110,210½ -110-10 -108,2017-01-14
matchuplink,509510,9:00p,OrlandoUtahOptions,ROOT SPORTS687,194 -110-10½ -115,37.1%62.9%,194½ -110-12 -100,194½ -107-11½ -108,194½ -110-11½ -120,194½ -110-11 -115,194½ -105-11½ -105,194½ -110-11½ -115,195 -110-11½ -110,194½ -110-11½ -120,194½ -110-11½ -110,194½ -110-11 -115,2017-01-14
matchuplink,701702,7:00p,CharlottePhiladelphiaOptions,CSN-PH,-4½ -110209½ -110,59.5%40.5%,-5 -113208½ -109,-4½ -107209½ -107,-5 -115207½ -110,-5 -110208 -110,-5½ -105208½ -105,-5 -115207½ -110,-5½ -105208 -110,-5 -115207½ -110,-5½ -110208 -110,-5 -110208 -110,2017-01-13
matchuplink,703704,7:30p,BrooklynTorontoOptions,YES631,222½ -110-14½ -110,42.7%57.3%,225½ -108-15 -103,223½ -107-15 -108,224½ -110-15½ -105,224 -115-15 -110,225 -105-15½ -105,224½ -110-15½ -110,225 -115-16 -105,224½ -110-15½ -105,225½ -110-15½ -110,224 -115-15 -110,2017-01-13
matchuplink,705706,8:00p,BostonAtlantaOptions,ESPN206,213 -110-2½ -110,47.5%52.5%,212 -109-3½ -105,211½ -108-2½ -106,212 -110-3½ -105,212 -110-4 -105,212 -105-3 -105,212 -110-3½ -110,213 -110-3½ -115,212 -110-3½ -105,212 -110-3½ -110,212 -110-4 -105,2017-01-13
matchuplink,707708,8:00p,MiamiMilwaukeeOptions,FS-WI668-1,203 -110-7½ -110,37.1%62.9%,205 -105-7½ -106,204½ -108-7 -105,205 -110-7½ -110,205 -110-7½ -110,205 -105-7½ -105,204½ -110-7½ -110,205 -115-8 -110,205 -110-7½ -110,204½ -110-7½ -110,205 -110-7½ -110,2017-01-13
matchuplink,709710,8:00p,MemphisHoustonOptions,ROOT SPORTS674,215½ -110-7 -110,36.4%63.6%,216 -109-7 -110,217 -108-7½ -105,216 -110-7½ -110,216 -110-7½ -110,217 -105-7½ -105,216 -110-7½ -110,217 -110-7½ -110,216 -110-7½ -110,216 -110-7½ -110,216 -110-7½ -110,2017-01-13
matchuplink,711712,8:00p,Oklahoma CityMinnesotaOptions,FS-N668,-1½ -110209 -110,56.0%44.0%,-2 -100207½ -108,-2 -105209 -107,-2 -105208 -110,-2 -105208½ -110,-2 -105209 -105,-2 -105208 -110,-2½ -105208 -115,-2 -105208 -110,-2 -110207½ -115,-2 -105208½ -110,2017-01-13
matchuplink,713714,10:00p,OrlandoPortlandOptions,KGW654,213½ -110-7½ -110,43.8%56.2%,213½ -105-7 -101,213 -107-7½ -103,213½ -110-7 -110,213½ -110-7 -110,213½ -105-7 -105,213½ -110-7 -110,213 -115-7½ -110,213½ -110-7 -110,213½ -110-7½ -110,213½ -110-7 -110,2017-01-13
matchuplink,715716,10:30p,DetroitUtahOptions,ESPN206,192½ -110-9½ -110,47.4%52.6%,191 -110-11 +102,191½ -105-11 -105,190½ -110-11 -105,191 -117-11½ -110,191 -105-11 -105,190½ -110-11 -110,191 -115-11 -110,190½ -110-11 -105,191 -110-11 -105,191 -117-11½ -110,2017-01-13
matchuplink,717718,10:30p,ClevelandSacramentoOptions,698CSN-CA,-6 -110211 -110,65.2%34.8%,-6 -108214½ -110,-6½ -106213½ -108,-6½ -110215 -110,-6½ -110215 -110,-6½ -105215 -105,-6½ -115215 -110,-7 -115215 -110,-6½ -110215 -110,-6½ -110214½ -110,-6½ -110215 -110,2017-01-13
matchuplink,501502,3:00p,IndianaDenverOptions,NBA TV216,-4 -110223 -110,53.9%46.1%,-4½ +105225½ -108,-4½ -101226 -108,-4½ -105226 -110,-4½ -105226 -110,-4½ -105226 -105,-4½ -110226 -110,-5 -105226 -115,-4½ -105226 -110,-4½ -110226 -110,-4½ -105226 -110,2017-01-12
matchuplink,503504,7:30p,New OrleansBrooklynOptions,YES631,-5 -110215½ -110,44.6%55.4%,214½ -105-2½ -102,214½ -110-2½ -110,214½ -110-2½ -110,214½ -110-2½ -105,214½ -105-2 -105,214½ -110-2½ -110,214 -115-2½ -110,214½ -110-2½ -110,214½ -110-2½ -105,214½ -110-2½ -105,2017-01-12
matchuplink,505506,8:00p,ChicagoNew YorkOptions,TNT245,204½ -110-2½ -110,43.1%56.9%,207½ -106-3 -110,208½ -125-4½ +111,207½ -110-3 -105,207½ -110-3 -110,207½ -105-3½ -105,207½ -110-3 -105,208 -110-3½ -105,207½ -110-3 -105,207½ -110-3 -110,207½ -110-3 -110,2017-01-12
matchuplink,507508,8:30p,L.A. LakersSan AntonioOptions,FS-SW676,212 -110-14½ -110,47.7%52.3%,212 -110-14½ +102,212 -110-14 -110,212½ -110-14 -110,212 -110-14 -115,212 -105-14½ -105,212½ -110-14 -110,213 -115-14½ -110,212½ -110-14 -110,212 -110-14 -110,212 -110-14 -115,2017-01-12
matchuplink,509510,10:00p,DallasPhoenixOptions,686FS-AZ,203½ -110-2½ -110,48.0%52.0%,-2½ -102208½ -108,-2½ -110207½ -110,-2 -115208½ -110,-2½ -110207½ -115,-2½ -105208 -105,-2 -115208½ -110,-2 -105208 -110,-2 -115208½ -110,-2½ -110207½ -110,-2½ -110207½ -115,2017-01-12
matchuplink,511512,10:30p,DetroitGolden StateOptions,TNT245,216 -110-13 -110,38.2%61.8%,218½ -113-13 -113,218½ -110-13½ -110,218½ -110-13½ -110,218½ -110-13½ -110,219 -105-13½ -105,218½ -110-13½ -115,220 -110-14 -110,218½ -110-13½ -110,218½ -110-13½ -110,218½ -110-13½ -110,2017-01-12
matchuplink,701702,7:00p,New YorkPhiladelphiaOptions,CSN-PH,-2 -110209 -110,56.5%43.5%,-2 -110211 -108,-2 -110211½ -110,-2 -110211½ -110,-2 -110211 -110,-2½ -105211 -105,-2 -110211½ -110,-2 -115211 -115,-2 -110211½ -110,-2 -110210½ -110,-2 -110211 -110,2017-01-11
matchuplink,703704,8:00p,WashingtonBostonOptions,ESPN630,217 -110-5½ -110,43.4%56.6%,218 -109-5½ +102,217½ -110-5½ -110,218 -110-5½ -110,217½ -110-5½ -105,218 -105-5½ -105,218 -110-5½ -110,218 -110-5½ -115,218 -110-5½ -110,218 -110-5½ -110,217½ -110-5½ -105,2017-01-11
matchuplink,705706,8:00p,MemphisOklahoma CityOptions,ESPNFS-OK,207 -110-6 -110,52.9%47.1%,203½ -106-4½ -110,204 -110-4½ -110,203½ -110-4½ -115,203½ -110-4½ -110,204 -105-4½ -105,203½ -110-4½ -115,204 -115-5 -110,203½ -110-4½ -115,203½ -110-4½ -110,203½ -110-4½ -110,2017-01-11
matchuplink,707708,8:00p,HoustonMinnesotaOptions,FS-N668,-4 -110219 -110,62.4%37.6%,-3 -102218½ -108,-3 -110218½ -110,-3½ -105218 -110,-3 -110218½ -110,-3½ -105219 -105,-3½ -105218 -110,-3½ -115219 -115,-3½ -105218 -110,-3 -110218½ -110,-3 -110218½ -110,2017-01-11
matchuplink,709710,10:30p,ClevelandPortlandOptions,ESPN206,-3½ -110221 -110,63.3%36.7%,-5 -108222 -110,-5 -110222 -110,-5 -110222 -110,-5 -110222 -110,-5½ -105221½ -105,-5 -110222 -110,-5½ -115223 -115,-5½ -110222½ -126,-5½ -110222 -110,-5 -110222 -110,2017-01-11
matchuplink,711712,10:30p,OrlandoL.A. ClippersOptions,PRIME693,208 -110-9 -110,47.6%52.4%,209 -108-10 -103,209 -110-10 -110,209 -110-10 -108,209 -110-10 -110,209 -105-10 -105,209 -110-10 -108,209 -115-10½ -105,209 -110-10 -110,209 -110-10 -110,209 -110-10 -110,2017-01-11
matchuplink,501502,7:00p,ChicagoWashingtonOptions,642CSN-DC,203½ -110-10 -115,44.5%55.5%,204 -110-11½ -105,204 -110-11½ -110,203½ -110-11½ -115,204 -110-12 -110,204 -105-12 -105,203½ -110-11½ -115,205 -115-11½ -115,203½ -110-11½ -115,204 -110-11½ -110,204 -110-12 -110,2017-01-10
matchuplink,503504,7:30p,BostonTorontoOptions,NBA TV216,219 -110-4½ -110,45.6%54.4%,218½ -107-5½ -106,218 -110-5½ -110,218 -110-5 -115,217½ -115-5½ -110,218 -105-5½ -105,218 -110-5½ -110,219 -115-5 -115,218 -110-5 -115,218 -110-5 -115,217½ -115-5½ -110,2017-01-10
matchuplink,505506,7:30p,AtlantaBrooklynOptions,YES631,-7 -110212½ -110,51.9%48.1%,-8½ -101217 -107,-8½ -110217 -110,-8½ -105217½ -110,-8½ -110216½ -110,-8 -105216 -105,-8½ -105218 -110,-9 -105217 -110,-8½ -105217½ -110,-8½ -115217 -110,-8½ -110216½ -110,2017-01-10
matchuplink,507508,8:00p,CharlotteHoustonOptions,ROOT SPORTS674,220½ -110-9½ -110,46.4%53.6%,226½ -106-9 -105,226½ -107-9 -102,226 -110-9 -110,226 -110-9 -110,227 -105-9 -105,226 -110-9 -110,227 -110-9 -110,226 -110-9 -110,226½ -110-8½ -110,226 -110-9 -110,2017-01-10
matchuplink,509510,8:30p,MilwaukeeSan AntonioOptions,FS-SW676,205½ -110-10 -110,44.9%55.1%,202½ -110-10 -101,202½ -110-9½ -110,202½ -110-10 -110,203 -110-10 -110,203 -105-10 -105,202½ -110-10 -110,203 -115-10 -110,202½ -110-10 -110,202½ -110-10 -110,203 -110-10 -110,2017-01-10
matchuplink,511512,9:00p,ClevelandUtahOptions,ROOT SPORTS687,-3½ -110204½ -110,62.1%37.9%,-1 -100203 -109,-1½ -105203 -108,203 -110-1 -110,-1 -110203½ -112,-1½ -105203 -105,203 -110-1 -105,-2½ -110203 -115,PK -110203½ -110,-1½ -105203 -110,-1 -110203½ -112,2017-01-10
matchuplink,513514,10:30p,PortlandL.A. LakersOptions,691TWC-SN,-1½ -110224 -110,54.5%45.5%,-2½ -101228½ -107,-2½ -110228½ -110,-2½ -105229½ -121,-2 -110228½ -110,-2 -105229 -105,-2½ -105228½ -110,-3 -105229 -110,-2½ -105229½ -121,-2½ -110228½ -110,-2 -110228½ -110,2017-01-10
matchuplink,515516,10:30p,MiamiGolden StateOptions,NBA TV216,216 -110-16 -110,33.3%66.7%,218 -110-14½ -105,218 -110-14½ -110,218½ -110-14½ -110,218 -110-14½ -107,219 -105-14½ -105,218½ -110-14½ -110,219 -115-15½ -110,218½ -110-14½ -110,218½ -110-14½ -110,218 -110-14½ -107,2017-01-10
matchuplink,517518,10:30p,DetroitSacramentoOptions,698CSN-CA,-1 -110208 -110,45.2%54.8%,206 -113-3 -101,206 -110-3 -110,206 -110-3 -105,206 -115-3 -107,206 -105-3 -105,206 -110-3 -105,206 -110-3 -115,206 -110-3 -105,206 -110-3 -105,206 -115-3 -107,2017-01-10
matchuplink,701702,7:30p,New OrleansNew YorkOptions,MSG634,214 -110-4 -110,48.2%51.8%,214 -107-3 -105,213½ -110-3 -110,213 -110-2½ -115,214 -110-3 -107,213½ -105-3 -105,213 -110-2½ -115,215 -115-4 -110,213 -110-2½ -115,215 -110-3½ -110,214 -110-3 -107,2017-01-09
matchuplink,703704,8:00p,DallasMinnesotaOptions,FS-N668,199½ -110-4½ -110,46.9%53.1%,196 -110-4½ -108,196½ -110-4½ -110,196½ -110-4½ -115,196½ -110-4½ -113,196½ -105-5 -105,196½ -110-4½ -115,197 -115-5 -110,196½ -110-4½ -115,196½ -110-4½ -115,196½ -110-4½ -113,2017-01-09
matchuplink,705706,8:00p,Oklahoma CityChicagoOptions,665CSN-CH,209½ -110-1 -110,53.3%46.7%,-1 -113208½ -106,PK -110209 -110,209½ -110-1 -107,-1 -110208½ -115,209½ -105-1 +105,209½ -110-1 -105,-1 -105210 -115,209½ -110-1 -107,-1 -110209 -110,-1 -110208½ -115,2017-01-09
matchuplink,501502,12:00p,PhiladelphiaBrooklynOptions,YES631,213½ -110-4 -110,49.8%50.2%,215½ -106-1 -113,216 -110-1 -110,216 -112-1 -110,216 -113-1 -110,216 -105-1 -105,216 -110-1 -110,PK -110216 -115,216 -110-1 -110,216 -110-1 -110,216 -113-1 -110,2017-01-08
matchuplink,503504,3:30p,MiamiL.A. ClippersOptions,PRIME693,207½ -110-10 -110,45.3%54.7%,207½ -113-9½ -103,207 -110-9½ -110,206½ -110-9 -115,207 -115-9 -115,207 -105-9½ -105,206½ -110-9 -115,207 -115-9½ -105,206½ -110-9 -115,207 -110-9 -115,207 -115-9 -115,2017-01-08
matchuplink,505506,2:00p,WashingtonMilwaukeeOptions,FS-WI668-1,214 -110-5 -110,52.8%47.2%,210 -107-1 -102,PK -110210½ -110,210½ -110-1 -110,PK -113210½ -110,211 -105-1 +100,210½ -110-1 -105,212 -115-1 -105,210½ -110-1 -110,210½ -110-1 -110,PK -113210½ -110,2017-01-08
matchuplink,507508,6:00p,HoustonTorontoOptions,ROOT SPORTS674,227 -110-3 -110,54.4%45.6%,-2 -107226 -110,-2 -110226½ -110,-2 -110228½ -110,-2 -110226 -110,-2 -105227 -105,-2 -110227½ -110,-2½ -110228 -115,-2 -110228½ -110,-2 -110228 -110,-2 -110226 -110,2017-01-08
matchuplink,509510,8:00p,UtahMemphisOptions,NBA TV216,191 -110-2 -115,43.8%56.2%,187½ -110-2½ +103,187½ -110-2½ -110,187 -110-2½ -105,187½ -110-2½ -105,187 -105-2 -105,187 -110-2½ -105,188 -110-3 -115,187 -110-2½ -105,188 -110-2½ -110,187½ -110-2½ -105,2017-01-08
matchuplink,511512,8:30p,ClevelandPhoenixOptions,686FS-AZ,-10 -110222 -110,63.4%36.6%,-8½ -100221 -108,-8½ -110221 -110,-8½ -110222 -110,-8½ -105221 -110,-8½ -105221½ -105,-8½ -110222 -110,-9 -115222 -115,-8½ -110222 -110,-8½ -110221½ -110,-8½ -105221 -110,2017-01-08
matchuplink,513514,9:00p,Golden StateSacramentoOptions,698CSN-CA,-10 -110223½ -110,65.5%34.5%,-11½ -108226 -113,-12 -110226 -110,-11½ -110225½ -110,-11½ -115226 -110,-12 -105226½ -105,-11½ -110225½ -110,-12½ -115226 -115,-11½ -110225½ -110,-12 -110226 -110,-11½ -115226 -110,2017-01-08
matchuplink,515516,9:30p,OrlandoL.A. LakersOptions,691TWC-SN,217 -110-1 -110,44.5%55.5%,216½ -105-2½ -113,216½ -110-2½ -110,217 -110-2½ -115,217 -110-2½ -115,217 -105-3 -105,217 -110-2½ -110,217 -110-3 -115,217 -110-2½ -115,217 -110-2½ -110,217 -110-2½ -115,2017-01-08
matchuplink,561562,9:00p,DetroitPortlandOptions,663CSN-NW,213½ -110-3 -115,43.3%56.7%,214 -110-3½ -105,214 -110-3½ -110,214 -110-3½ -110,213½ -110-3½ -113,213½ -105-3½ -105,213½ -110-3½ -110,214 -115-4 -110,214 -110-3½ -110,212½ -110-3½ -110,213½ -110-3½ -113,2017-01-08
matchuplink,701702,7:00p,New YorkIndianaOptions,FS-IN671-4,216 -110-6½ -110,49.6%50.4%,217 -110-7 +102,217 -110-6½ -110,216½ -110-7 -105,216½ -115-7 +100,216½ -105-6½ -105,216½ -110-7 -105,217 -115-6½ -110,216½ -110-7 -105,217 -110-7 -110,216½ -115-7 +100,2017-01-07
matchuplink,703704,7:30p,New OrleansBostonOptions,630CSN-NE,211½ -110-8½ -110,50.0%50.0%,211½ -106-6 -105,212 -107-6 -107,212 -110-6 -110,212 -110-6 -110,212 -105-6 -105,212 -110-6 -110,212 -110-6 -115,212 -110-6 -110,212 -110-6 -110,212 -110-6 -110,2017-01-07
matchuplink,705706,8:00p,UtahMinnesotaOptions,FS-N668,-1½ -110196 -110,95.7%4.3%,-4½ -108193 -108,-4½ -105193½ -105,-5 -110193½ -110,-4½ -110194 -110,-4½ -105193½ -105,-5 -110193½ -110,-5 -110193 -115,-5 -110193½ -110,-4½ -110193 -110,-4½ -110194 -110,2017-01-07
matchuplink,707708,8:00p,DenverOklahoma CityOptions,FS-OK676-5,218 -110-7 -110,40.5%59.5%,221 -105-8½ -107,221 -105-8½ -103,220½ -110-8½ -115,220½ -110-8½ -115,221½ -105-8½ -105,220½ -110-8½ -115,222 -115-8½ -105,220½ -110-8½ -115,220½ -110-8 -110,220½ -110-8½ -115,2017-01-07
