X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,date
matchuplink,707708,7:30p,CharlotteAtlantaOptions,649FS-SE,208 -110-2 -113,48.7%51.3%,208 -117-2½ -107,208½ -108-2½ -105,208 -110-2½ -110,208 -115-2½ -110,208½ -105-2½ -105,208 -110-2½ -110,208 -110-2½ -110,208 -110-2½ -110,208½ -110-2½ -110,208 -115-2½ -110,2016-12-17
matchuplink,709710,8:00p,HoustonMinnesotaOptions,FS-N668,-5½ -110222 -110,58.8%41.2%,-2½ -109220½ -106,-2½ -107220½ -105,-2½ -115221 -110,-2½ -110220½ -110,-2½ -105221 -105,-2½ -115221 -110,-3 -110221 -110,-2½ -115221 -110,-2½ -110220½ -110,-2½ -110220½ -110,2016-12-17
matchuplink,711712,9:00p,New YorkDenverOptions,ALT681,217½ -110-2½ -110,49.2%50.8%,215 -107-4 -100,215 -105-4 -101,215½ -110-4 -105,215½ -110-4 -110,215½ -105-4 -105,215½ -110-4 -110,215 -110-4 -105,215½ -110-4 -105,215 -110-4 -110,215½ -110-4 -110,2016-12-17
matchuplink,713714,10:30p,PortlandGolden StateOptions,CSN-BA696,232 -110-13½ -110,44.3%55.7%,235 -105-14 -101,234 -107-14 -103,234 -110-14 -110,234½ -115-14 -120,234½ -105-14½ -105,234 -110-14 -110,234 -115-14½ -105,234 -110-14 -110,234½ -110-14 -110,234½ -115-14 -120,2016-12-17
matchuplink,501502,7:00p,BrooklynOrlandoOptions,654FS-FL,216½ -110-7½ -110,49.6%50.4%,217 -106-7 -105,217 -110-7 -110,217 -110-6½ -115,217 -110-7 -110,217 -105-7 -105,217 -110-6½ -115,217 -115-7 -110,217 -110-6½ -115,217 -110-7 -105,217 -110-7 -110,2016-12-16
matchuplink,503504,7:00p,DetroitWashingtonOptions,642CSN-DC,PK -110203½ -110,53.7%46.3%,-1½ -104205 -105,-1½ -110205½ -110,-1½ -105205½ -110,-1½ -110205 -110,-1½ -105205½ -105,-2 -110205½ -110,-1½ -105205 -110,-1½ -105205½ -110,-1½ -105205 -110,-1½ -110205 -110,2016-12-16
matchuplink,505506,7:30p,AtlantaTorontoOptions,649FS-SE,210½ -110-8 -110,43.0%57.0%,214½ -107-6½ -106,214½ -110-6½ -110,214 -110-6½ -110,214 -110-6½ -105,215 -105-7 -105,214 -110-6½ -110,214 -115-7½ -105,214 -110-6½ -110,214½ -110-6½ -110,214 -110-6½ -105,2016-12-16
matchuplink,507508,7:30p,CharlotteBostonOptions,630CSN-NE,206 -110-7½ -110,52.3%47.7%,207½ -109-6 -108,207½ -110-6 -110,208 -110-6 -110,207½ -110-6 -110,207½ -105-6 -105,208 -110-6 -110,207 -115-6½ -110,208 -110-6 -110,207½ -110-6½ -110,207½ -110-6 -110,2016-12-16
matchuplink,509510,8:00p,MilwaukeeChicagoOptions,665CSN-CH,208 -110-6½ -110,48.1%51.9%,204 -110-5½ -105,204½ -117-6 -102,204 -110-5½ -115,204 -110-5½ -115,204 -105-5½ -105,204 -110-5½ -110,205 -115-6 -105,204 -110-5½ -115,204 -110-5½ -105,204 -110-5½ -115,2016-12-16
matchuplink,511512,8:00p,SacramentoMemphisOptions,649-2FS-SE,194½ -110-4½ -110,40.1%59.9%,193 -106-5 -100,193½ -105-5 -105,193 -110-5 -110,193 -110-4½ -110,193½ -105-5 -105,193 -110-5 -110,194 -115-5½ -110,193 -110-5 -110,193 -110-5 -110,193 -110-4½ -110,2016-12-16
