time,team,opp,overunder,margin,date
10:30p,den,lal,230,-1,2017-01-17
7:30p,tor,bos,224.318181818182,-8.36363636363636,2017-01-17
7:30p,hou,mia,221.5,-7.40909090909091,2017-01-17
8:00p,dal,chi,197.318181818182,-4.59090909090909,2017-01-17
8:30p,min,sas,202.727272727273,-12.1363636363636,2017-01-17
