"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17699-23169","C","Steven","","Adams","25.36904761904762","42","5500","OKC@GS","OKC","GS","O","Concussion","",""
"17699-15636","SG","Kentavious","","Caldwell-Pope","24.70500030517578","40","5400","ATL@DET","DET","ATL","GTD","Shoulder","",""
"17699-9666","PF","Thaddeus","","Young","23.99250030517578","40","5400","IND@SAC","IND","SAC","","","",""
"17699-18393","PG","T.J.","","McConnell","17.513157894736842","38","5400","TOR@PHI","PHI","TOR","GTD","Wrist","",""
"17699-20491","SF","Robert","","Covington","22.58888922797309","36","5300","TOR@PHI","PHI","TOR","","","",""
"17699-12474","PG","Patrick","","Beverley","25.74333292643229","30","5300","MIL@HOU","HOU","MIL","","","",""
"17699-23776","PF","Montrezl","","Harrell","17.74857177734375","35","5300","MIL@HOU","HOU","MIL","","","",""
"17699-15757","PF","Terrence","","Jones","22.085000610351564","40","5300","ORL@NO","NO","ORL","","","",""
"17699-16359","PG","Malcolm","","Brogdon","19.23999938964844","40","5300","MIL@HOU","MIL","HOU","","","",""
"17699-23096","SG","Evan","","Fournier","25.08108108108108","37","5200","ORL@NO","ORL","NO","GTD","Foot","",""
"17699-55059","C","Clint","","Capela","25.42142813546317","28","5200","MIL@HOU","HOU","MIL","","","",""
"17699-9483","C","Joakim","","Noah","21.849999678762334","38","5100","NY@BOS","NY","BOS","","","",""
"17699-15691","C","Cody","","Zeller","23.149999281939337","34","5100","POR@CHA","CHA","POR","","","",""
"17699-9772","PF","Ryan","","Anderson","22.23023312590843","43","5000","MIL@HOU","HOU","MIL","O","Illness","",""
"17699-41594","SF","Aaron","","Gordon","20.979069199672963","43","4900","ORL@NO","ORL","NO","","","",""
"17699-14512","SF","Marcus","","Morris","22.41190447126116","42","4900","ATL@DET","DET","ATL","","","",""
"17699-15559","SG","Jeremy","","Lamb","17.67142813546317","28","4900","POR@CHA","CHA","POR","O","Foot","",""
"17699-15758","SF","Michael","","Kidd-Gilchrist","22.32250061035156","40","4800","POR@CHA","CHA","POR","","","",""
"17699-15846","SG","Tim","","Hardaway Jr.","17.625641651642628","39","4800","ATL@DET","ATL","DET","","","",""
"17699-9458","SG","Tony","","Allen","21.283333672417534","36","4700","MEM@WAS","MEM","WAS","","","",""
"17699-58083","C","Jahlil","","Okafor","20.023333740234374","30","4600","TOR@PHI","PHI","TOR","","","",""
"17699-9451","PF","Marvin","","Williams","20.27428501674107","35","4600","POR@CHA","CHA","POR","","","",""
"17699-19781","SF","Kent","","Bazemore","20.348717322716347","39","4600","ATL@DET","ATL","DET","","","",""
"17699-17384","C","Kyle","","O'Quinn","17.18000030517578","40","4600","NY@BOS","NY","BOS","","","",""
"17699-23825","PF","Nerlens","","Noel","16.146153376652645","13","4500","TOR@PHI","PHI","TOR","GTD","Ankle","",""
"17699-9624","PG","Darren","","Collison","21.600000381469727","32","4500","IND@SAC","SAC","IND","","","",""
"17699-15405","PF","JaMychal","","Green","21.245237804594495","42","4400","MEM@WAS","MEM","WAS","","","",""
"17699-12359","SF","Evan","","Turner","19.852499389648436","40","4400","POR@CHA","POR","CHA","","","",""
"17699-14539","PF","Jon","","Leuer","21.526315789473685","38","4400","ATL@DET","DET","ATL","GTD","Knee","",""
"17699-16178","SF","Maurice","","Harkless","21.697560380144818","41","4400","POR@CHA","POR","CHA","","","",""
"17699-9587","SF","Michael","","Beasley","15.514705882352942","34","4400","MIL@HOU","MIL","HOU","","","",""
"17699-9593","PG","Brandon","","Jennings","18.680951799665177","42","4400","NY@BOS","NY","BOS","","","",""
"17699-22541","C","Kelly","","Olynyk","18.182857840401784","35","4300","NY@BOS","BOS","NY","","","",""
"17699-9787","SF","DeMarre","","Carroll","18.52857142857143","35","4200","TOR@PHI","TOR","PHI","","","",""
"17699-9964","PG","Ty","","Lawson","18.635897122896633","39","4200","IND@SAC","SAC","IND","GTD","Ankle","",""
