NAME,vs. Atlanta_GP,vs. Atlanta_MIN,vs. Atlanta_FG.,vs. Atlanta_X3P.,vs. Atlanta_FT.,vs. Atlanta_OR,vs. Atlanta_DR,vs. Atlanta_REB,vs. Atlanta_AST,vs. Atlanta_BLK,vs. Atlanta_STL,vs. Atlanta_PF,vs. Atlanta_TO,vs. Atlanta_PTS,vs. Atlanta_FMG,vs. Atlanta_FMA,vs. Atlanta_PM3,vs. Atlanta_PA3,vs. Atlanta_FTM,vs. Atlanta_FTA,vs. Boston_GP,vs. Boston_MIN,vs. Boston_FG.,vs. Boston_X3P.,vs. Boston_FT.,vs. Boston_OR,vs. Boston_DR,vs. Boston_REB,vs. Boston_AST,vs. Boston_BLK,vs. Boston_STL,vs. Boston_PF,vs. Boston_TO,vs. Boston_PTS,vs. Boston_FMG,vs. Boston_FMA,vs. Boston_PM3,vs. Boston_PA3,vs. Boston_FTM,vs. Boston_FTA,vs. Brooklyn_GP,vs. Brooklyn_MIN,vs. Brooklyn_FG.,vs. Brooklyn_X3P.,vs. Brooklyn_FT.,vs. Brooklyn_OR,vs. Brooklyn_DR,vs. Brooklyn_REB,vs. Brooklyn_AST,vs. Brooklyn_BLK,vs. Brooklyn_STL,vs. Brooklyn_PF,vs. Brooklyn_TO,vs. Brooklyn_PTS,vs. Brooklyn_FMG,vs. Brooklyn_FMA,vs. Brooklyn_PM3,vs. Brooklyn_PA3,vs. Brooklyn_FTM,vs. Brooklyn_FTA,vs. Charlotte_GP,vs. Charlotte_MIN,vs. Charlotte_FG.,vs. Charlotte_X3P.,vs. Charlotte_FT.,vs. Charlotte_OR,vs. Charlotte_DR,vs. Charlotte_REB,vs. Charlotte_AST,vs. Charlotte_BLK,vs. Charlotte_STL,vs. Charlotte_PF,vs. Charlotte_TO,vs. Charlotte_PTS,vs. Charlotte_FMG,vs. Charlotte_FMA,vs. Charlotte_PM3,vs. Charlotte_PA3,vs. Charlotte_FTM,vs. Charlotte_FTA,vs. Chicago_GP,vs. Chicago_MIN,vs. Chicago_FG.,vs. Chicago_X3P.,vs. Chicago_FT.,vs. Chicago_OR,vs. Chicago_DR,vs. Chicago_REB,vs. Chicago_AST,vs. Chicago_BLK,vs. Chicago_STL,vs. Chicago_PF,vs. Chicago_TO,vs. Chicago_PTS,vs. Chicago_FMG,vs. Chicago_FMA,vs. Chicago_PM3,vs. Chicago_PA3,vs. Chicago_FTM,vs. Chicago_FTA,vs. Cleveland_GP,vs. Cleveland_MIN,vs. Cleveland_FG.,vs. Cleveland_X3P.,vs. Cleveland_FT.,vs. Cleveland_OR,vs. Cleveland_DR,vs. Cleveland_REB,vs. Cleveland_AST,vs. Cleveland_BLK,vs. Cleveland_STL,vs. Cleveland_PF,vs. Cleveland_TO,vs. Cleveland_PTS,vs. Cleveland_FMG,vs. Cleveland_FMA,vs. Cleveland_PM3,vs. Cleveland_PA3,vs. Cleveland_FTM,vs. Cleveland_FTA,vs. Dallas_GP,vs. Dallas_MIN,vs. Dallas_FG.,vs. Dallas_X3P.,vs. Dallas_FT.,vs. Dallas_OR,vs. Dallas_DR,vs. Dallas_REB,vs. Dallas_AST,vs. Dallas_BLK,vs. Dallas_STL,vs. Dallas_PF,vs. Dallas_TO,vs. Dallas_PTS,vs. Dallas_FMG,vs. Dallas_FMA,vs. Dallas_PM3,vs. Dallas_PA3,vs. Dallas_FTM,vs. Dallas_FTA,vs. Denver_GP,vs. Denver_MIN,vs. Denver_FG.,vs. Denver_X3P.,vs. Denver_FT.,vs. Denver_OR,vs. Denver_DR,vs. Denver_REB,vs. Denver_AST,vs. Denver_BLK,vs. Denver_STL,vs. Denver_PF,vs. Denver_TO,vs. Denver_PTS,vs. Denver_FMG,vs. Denver_FMA,vs. Denver_PM3,vs. Denver_PA3,vs. Denver_FTM,vs. Denver_FTA,vs. Detroit_GP,vs. Detroit_MIN,vs. Detroit_FG.,vs. Detroit_X3P.,vs. Detroit_FT.,vs. Detroit_OR,vs. Detroit_DR,vs. Detroit_REB,vs. Detroit_AST,vs. Detroit_BLK,vs. Detroit_STL,vs. Detroit_PF,vs. Detroit_TO,vs. Detroit_PTS,vs. Detroit_FMG,vs. Detroit_FMA,vs. Detroit_PM3,vs. Detroit_PA3,vs. Detroit_FTM,vs. Detroit_FTA,vs. Golden State_GP,vs. Golden State_MIN,vs. Golden State_FG.,vs. Golden State_X3P.,vs. Golden State_FT.,vs. Golden State_OR,vs. Golden State_DR,vs. Golden State_REB,vs. Golden State_AST,vs. Golden State_BLK,vs. Golden State_STL,vs. Golden State_PF,vs. Golden State_TO,vs. Golden State_PTS,vs. Golden State_FMG,vs. Golden State_FMA,vs. Golden State_PM3,vs. Golden State_PA3,vs. Golden State_FTM,vs. Golden State_FTA,vs. Houston_GP,vs. Houston_MIN,vs. Houston_FG.,vs. Houston_X3P.,vs. Houston_FT.,vs. Houston_OR,vs. Houston_DR,vs. Houston_REB,vs. Houston_AST,vs. Houston_BLK,vs. Houston_STL,vs. Houston_PF,vs. Houston_TO,vs. Houston_PTS,vs. Houston_FMG,vs. Houston_FMA,vs. Houston_PM3,vs. Houston_PA3,vs. Houston_FTM,vs. Houston_FTA,vs. Indiana_GP,vs. Indiana_MIN,vs. Indiana_FG.,vs. Indiana_X3P.,vs. Indiana_FT.,vs. Indiana_OR,vs. Indiana_DR,vs. Indiana_REB,vs. Indiana_AST,vs. Indiana_BLK,vs. Indiana_STL,vs. Indiana_PF,vs. Indiana_TO,vs. Indiana_PTS,vs. Indiana_FMG,vs. Indiana_FMA,vs. Indiana_PM3,vs. Indiana_PA3,vs. Indiana_FTM,vs. Indiana_FTA,vs. LA Clippers_GP,vs. LA Clippers_MIN,vs. LA Clippers_FG.,vs. LA Clippers_X3P.,vs. LA Clippers_FT.,vs. LA Clippers_OR,vs. LA Clippers_DR,vs. LA Clippers_REB,vs. LA Clippers_AST,vs. LA Clippers_BLK,vs. LA Clippers_STL,vs. LA Clippers_PF,vs. LA Clippers_TO,vs. LA Clippers_PTS,vs. LA Clippers_FMG,vs. LA Clippers_FMA,vs. LA Clippers_PM3,vs. LA Clippers_PA3,vs. LA Clippers_FTM,vs. LA Clippers_FTA,vs. LA Lakers_GP,vs. LA Lakers_MIN,vs. LA Lakers_FG.,vs. LA Lakers_X3P.,vs. LA Lakers_FT.,vs. LA Lakers_OR,vs. LA Lakers_DR,vs. LA Lakers_REB,vs. LA Lakers_AST,vs. LA Lakers_BLK,vs. LA Lakers_STL,vs. LA Lakers_PF,vs. LA Lakers_TO,vs. LA Lakers_PTS,vs. LA Lakers_FMG,vs. LA Lakers_FMA,vs. LA Lakers_PM3,vs. LA Lakers_PA3,vs. LA Lakers_FTM,vs. LA Lakers_FTA,vs. Memphis_GP,vs. Memphis_MIN,vs. Memphis_FG.,vs. Memphis_X3P.,vs. Memphis_FT.,vs. Memphis_OR,vs. Memphis_DR,vs. Memphis_REB,vs. Memphis_AST,vs. Memphis_BLK,vs. Memphis_STL,vs. Memphis_PF,vs. Memphis_TO,vs. Memphis_PTS,vs. Memphis_FMG,vs. Memphis_FMA,vs. Memphis_PM3,vs. Memphis_PA3,vs. Memphis_FTM,vs. Memphis_FTA,vs. Miami_GP,vs. Miami_MIN,vs. Miami_FG.,vs. Miami_X3P.,vs. Miami_FT.,vs. Miami_OR,vs. Miami_DR,vs. Miami_REB,vs. Miami_AST,vs. Miami_BLK,vs. Miami_STL,vs. Miami_PF,vs. Miami_TO,vs. Miami_PTS,vs. Miami_FMG,vs. Miami_FMA,vs. Miami_PM3,vs. Miami_PA3,vs. Miami_FTM,vs. Miami_FTA,vs. Milwaukee_GP,vs. Milwaukee_MIN,vs. Milwaukee_FG.,vs. Milwaukee_X3P.,vs. Milwaukee_FT.,vs. Milwaukee_OR,vs. Milwaukee_DR,vs. Milwaukee_REB,vs. Milwaukee_AST,vs. Milwaukee_BLK,vs. Milwaukee_STL,vs. Milwaukee_PF,vs. Milwaukee_TO,vs. Milwaukee_PTS,vs. Milwaukee_FMG,vs. Milwaukee_FMA,vs. Milwaukee_PM3,vs. Milwaukee_PA3,vs. Milwaukee_FTM,vs. Milwaukee_FTA,vs. Minnesota_GP,vs. Minnesota_MIN,vs. Minnesota_FG.,vs. Minnesota_X3P.,vs. Minnesota_FT.,vs. Minnesota_OR,vs. Minnesota_DR,vs. Minnesota_REB,vs. Minnesota_AST,vs. Minnesota_BLK,vs. Minnesota_STL,vs. Minnesota_PF,vs. Minnesota_TO,vs. Minnesota_PTS,vs. Minnesota_FMG,vs. Minnesota_FMA,vs. Minnesota_PM3,vs. Minnesota_PA3,vs. Minnesota_FTM,vs. Minnesota_FTA,vs. New Orleans_GP,vs. New Orleans_MIN,vs. New Orleans_FG.,vs. New Orleans_X3P.,vs. New Orleans_FT.,vs. New Orleans_OR,vs. New Orleans_DR,vs. New Orleans_REB,vs. New Orleans_AST,vs. New Orleans_BLK,vs. New Orleans_STL,vs. New Orleans_PF,vs. New Orleans_TO,vs. New Orleans_PTS,vs. New Orleans_FMG,vs. New Orleans_FMA,vs. New Orleans_PM3,vs. New Orleans_PA3,vs. New Orleans_FTM,vs. New Orleans_FTA,vs. New York_GP,vs. New York_MIN,vs. New York_FG.,vs. New York_X3P.,vs. New York_FT.,vs. New York_OR,vs. New York_DR,vs. New York_REB,vs. New York_AST,vs. New York_BLK,vs. New York_STL,vs. New York_PF,vs. New York_TO,vs. New York_PTS,vs. New York_FMG,vs. New York_FMA,vs. New York_PM3,vs. New York_PA3,vs. New York_FTM,vs. New York_FTA,vs. Oklahoma City_GP,vs. Oklahoma City_MIN,vs. Oklahoma City_FG.,vs. Oklahoma City_X3P.,vs. Oklahoma City_FT.,vs. Oklahoma City_OR,vs. Oklahoma City_DR,vs. Oklahoma City_REB,vs. Oklahoma City_AST,vs. Oklahoma City_BLK,vs. Oklahoma City_STL,vs. Oklahoma City_PF,vs. Oklahoma City_TO,vs. Oklahoma City_PTS,vs. Oklahoma City_FMG,vs. Oklahoma City_FMA,vs. Oklahoma City_PM3,vs. Oklahoma City_PA3,vs. Oklahoma City_FTM,vs. Oklahoma City_FTA,vs. Orlando_GP,vs. Orlando_MIN,vs. Orlando_FG.,vs. Orlando_X3P.,vs. Orlando_FT.,vs. Orlando_OR,vs. Orlando_DR,vs. Orlando_REB,vs. Orlando_AST,vs. Orlando_BLK,vs. Orlando_STL,vs. Orlando_PF,vs. Orlando_TO,vs. Orlando_PTS,vs. Orlando_FMG,vs. Orlando_FMA,vs. Orlando_PM3,vs. Orlando_PA3,vs. Orlando_FTM,vs. Orlando_FTA,vs. Philadelphia_GP,vs. Philadelphia_MIN,vs. Philadelphia_FG.,vs. Philadelphia_X3P.,vs. Philadelphia_FT.,vs. Philadelphia_OR,vs. Philadelphia_DR,vs. Philadelphia_REB,vs. Philadelphia_AST,vs. Philadelphia_BLK,vs. Philadelphia_STL,vs. Philadelphia_PF,vs. Philadelphia_TO,vs. Philadelphia_PTS,vs. Philadelphia_FMG,vs. Philadelphia_FMA,vs. Philadelphia_PM3,vs. Philadelphia_PA3,vs. Philadelphia_FTM,vs. Philadelphia_FTA,vs. Phoenix_GP,vs. Phoenix_MIN,vs. Phoenix_FG.,vs. Phoenix_X3P.,vs. Phoenix_FT.,vs. Phoenix_OR,vs. Phoenix_DR,vs. Phoenix_REB,vs. Phoenix_AST,vs. Phoenix_BLK,vs. Phoenix_STL,vs. Phoenix_PF,vs. Phoenix_TO,vs. Phoenix_PTS,vs. Phoenix_FMG,vs. Phoenix_FMA,vs. Phoenix_PM3,vs. Phoenix_PA3,vs. Phoenix_FTM,vs. Phoenix_FTA,vs. Portland_GP,vs. Portland_MIN,vs. Portland_FG.,vs. Portland_X3P.,vs. Portland_FT.,vs. Portland_OR,vs. Portland_DR,vs. Portland_REB,vs. Portland_AST,vs. Portland_BLK,vs. Portland_STL,vs. Portland_PF,vs. Portland_TO,vs. Portland_PTS,vs. Portland_FMG,vs. Portland_FMA,vs. Portland_PM3,vs. Portland_PA3,vs. Portland_FTM,vs. Portland_FTA,vs. Sacramento_GP,vs. Sacramento_MIN,vs. Sacramento_FG.,vs. Sacramento_X3P.,vs. Sacramento_FT.,vs. Sacramento_OR,vs. Sacramento_DR,vs. Sacramento_REB,vs. Sacramento_AST,vs. Sacramento_BLK,vs. Sacramento_STL,vs. Sacramento_PF,vs. Sacramento_TO,vs. Sacramento_PTS,vs. Sacramento_FMG,vs. Sacramento_FMA,vs. Sacramento_PM3,vs. Sacramento_PA3,vs. Sacramento_FTM,vs. Sacramento_FTA,vs. San Antonio_GP,vs. San Antonio_MIN,vs. San Antonio_FG.,vs. San Antonio_X3P.,vs. San Antonio_FT.,vs. San Antonio_OR,vs. San Antonio_DR,vs. San Antonio_REB,vs. San Antonio_AST,vs. San Antonio_BLK,vs. San Antonio_STL,vs. San Antonio_PF,vs. San Antonio_TO,vs. San Antonio_PTS,vs. San Antonio_FMG,vs. San Antonio_FMA,vs. San Antonio_PM3,vs. San Antonio_PA3,vs. San Antonio_FTM,vs. San Antonio_FTA,vs. Toronto_GP,vs. Toronto_MIN,vs. Toronto_FG.,vs. Toronto_X3P.,vs. Toronto_FT.,vs. Toronto_OR,vs. Toronto_DR,vs. Toronto_REB,vs. Toronto_AST,vs. Toronto_BLK,vs. Toronto_STL,vs. Toronto_PF,vs. Toronto_TO,vs. Toronto_PTS,vs. Toronto_FMG,vs. Toronto_FMA,vs. Toronto_PM3,vs. Toronto_PA3,vs. Toronto_FTM,vs. Toronto_FTA,vs. Utah_GP,vs. Utah_MIN,vs. Utah_FG.,vs. Utah_X3P.,vs. Utah_FT.,vs. Utah_OR,vs. Utah_DR,vs. Utah_REB,vs. Utah_AST,vs. Utah_BLK,vs. Utah_STL,vs. Utah_PF,vs. Utah_TO,vs. Utah_PTS,vs. Utah_FMG,vs. Utah_FMA,vs. Utah_PM3,vs. Utah_PA3,vs. Utah_FTM,vs. Utah_FTA,vs. Washington_GP,vs. Washington_MIN,vs. Washington_FG.,vs. Washington_X3P.,vs. Washington_FT.,vs. Washington_OR,vs. Washington_DR,vs. Washington_REB,vs. Washington_AST,vs. Washington_BLK,vs. Washington_STL,vs. Washington_PF,vs. Washington_TO,vs. Washington_PTS,vs. Washington_FMG,vs. Washington_FMA,vs. Washington_PM3,vs. Washington_PA3,vs. Washington_FTM,vs. Washington_FTA
A.J. Hammons,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,0.5,0,0,0,1,1,0,0,0,0,0,2,1,2,0,0,0,0,1,6,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,4.5,0.6,0.667,0,0.5,0,0.5,0,0,0,0.5,1,4,1.5,2.5,1,1.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,0.667,1,1,1,0.5,1.5,0,0,0,0.5,0,5.5,2,3,0.5,0.5,1,1,2,2.5,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,0,0,0,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13.5,0,0,0,0,4,4,0,2,0,2.5,0,0,0,3,0,0.5,0,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,1,1,0,0,1,1,0,0,0,3,1,3,1,1,1,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Aaron Brooks,1,6,0.667,0,0,0,0,0,0,0,0,1,2,4,2,3,0,0,0,0,2,14,0.273,0.333,0.75,0,1.5,1.5,2,0,0.5,2.5,1.5,5.5,1.5,5.5,1,3,1.5,2,2,19,0.429,0.25,0,0,0.5,0.5,2.5,0.5,1,1,1.5,7,3,7,1,4,0,0,2,17,0.25,0.143,1,0.5,2,2.5,4,0.5,0.5,3.5,1,4.5,1.5,6,0.5,3.5,1,1,3,19.7,0.65,0.583,1,0.3,1.3,1.7,3,0.7,0,2.3,2,12.3,4.3,6.7,2.3,4,1.3,1.3,1,11,0.571,0.25,0,0,0,0,2,0,1,1,0,9,4,7,1,4,0,0,1,15,0.333,0.5,1,1,2,3,2,0,0,2,0,5,1,3,1,2,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,16,0.444,0.5,0.5,0,0,0,2.5,0,0,2,1,5,2,4.5,0.5,1,0.5,1,2,16,0.375,0.333,1,0,0.5,0.5,2,0,1,1,0.5,4.5,1.5,4,0.5,1.5,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,11,0.429,0,1,1.5,1,2.5,1.5,0.5,1,0,1,4.5,1.5,3.5,0,0.5,1.5,1.5,1,16,0.429,0.333,0.5,1,0,1,2,1,0,1,0,8,3,7,1,3,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,17,0.286,0,0,0,0,0,0,0,1,5,0,4,2,7,0,1,0,0,1,14,0.75,1,0,0,0,0,5,0,1,5,4,8,3,4,2,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,13,0,0,0,0,1,1,5,0,0,0,2,0,0,3,0,2,0,0,1,11,0.5,0,0,0,0,0,3,0,1,2,1,4,2,4,0,2,0,0,1,13,0.667,0.667,0,1,0,1,1,0,0,1,2,10,4,6,2,3,0,0,2,17.5,0.444,0.5,1,0,1,1,3,0.5,0.5,1.5,0,10.5,4,9,1.5,3,1,1,2,15.5,0.333,0,0,0,0.5,0.5,2.5,0,0.5,1.5,0,2,1,3,0,1,0,0,2,12,0.25,0,0,0,1.5,1.5,2,0,0.5,1,2,2,1,4,0,0.5,0,0,2,17.5,0.438,0.429,1,0.5,2,2.5,1,0,1,0.5,2,9.5,3.5,8,1.5,3.5,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,9.5,0,0,0,0.5,0,0.5,2.5,0.5,0,0.5,0.5,0,0,2,0,1,0,0
Aaron Gordon,2,21.5,0.529,0.429,1,2,4.5,6.5,2,0.5,0,2.5,1.5,11,4.5,8.5,1.5,3.5,0.5,0.5,1,26,0.222,0.333,0,0,3,3,4,0,1,4,2,5,2,9,1,3,0,2,1,29,0.333,0.2,0.8,3,2,5,2,0,1,1,0,13,4,12,1,5,4,5,2,27,0.385,0.25,0,2,1.5,3.5,2,0,1,1,0.5,5.5,2.5,6.5,0.5,2,0,0,1,30,0.4,0.25,1,1,3,4,4,1,1,2,1,15,6,15,1,4,2,2,1,26,0.429,0.333,0.5,0,3,3,2,1,3,3,2,8,3,7,1,3,1,2,1,25,0.4,0.5,0,1,3,4,1,0,0,4,2,5,2,5,1,2,0,0,1,22,0.571,0.333,1,1,5,6,3,0,1,4,0,11,4,7,1,3,2,2,2,25.5,0.5,0.25,0.6,1.5,3.5,5,0,0,1,2,0.5,13.5,5,10,0.5,2,3,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,36,0.5,0.333,0.667,3,3,6,7,0,1,2,2,18,7,14,2,6,2,3,2,25,0.429,0.222,1,1,3.5,4.5,0.5,0.5,1,2.5,1,12,4.5,10.5,1,4.5,2,2,1,40,0.619,0.5,0.5,4,3,7,2,0,1,3,3,33,13,21,4,8,3,6,1,24,0.3,0.5,1,2,5,7,0,1,1,1,1,9,3,10,1,2,2,2,2,27.5,0.7,0.571,0.667,0.5,2,2.5,1.5,1,0.5,2,0,19,7,10,2,3.5,3,4.5,2,31.5,0.45,0.5,0.75,1,5.5,6.5,2.5,0.5,0.5,1.5,2.5,12,4.5,10,1.5,3,1.5,2,2,26.5,0.059,0,0.5,2,4,6,1.5,0,1,1.5,1,2.5,0.5,8.5,0,3,1.5,3,1,31,0.222,0,0.75,1,3,4,0,1,0,2,1,7,2,9,0,3,3,4,1,26,0.364,0.5,0.333,0,4,4,3,1,1,1,1,10,4,11,1,2,1,3,2,25.5,0.407,0.231,0.6,1.5,2.5,4,3.5,0,0.5,1.5,1.5,14,5.5,13.5,1.5,6.5,1.5,2.5,1,22,0.556,0.333,1,0,1,1,1,0,0,3,1,12,5,9,1,3,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,28.5,0.5,0.25,1,0.5,1.5,2,2,0.5,1.5,1,1.5,13.5,6,12,1,4,0.5,0.5,1,20,0.364,0.333,0,0,2,2,0,1,0,3,2,9,4,11,1,3,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,31,0.5,0.333,0.667,3,7,10,3,1,1,3,1,13,5,10,1,3,2,3,1,19,0.556,1,0,2,1,3,0,0,0,4,0,11,5,9,1,1,0,0,1,20,0.333,0.25,0,0,1,1,0,0,0,2,1,7,3,9,1,4,0,0,1,25,0.444,0,0.5,1,6,7,1,2,2,1,0,9,4,9,0,1,1,2,3,25.7,0.423,0.444,0.25,1.3,4,5.3,2.3,1,0.3,0.7,0.7,9,3.7,8.7,1.3,3,0.3,1.3
