RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
318,"Jason Terry, MIL",33,17.5,.538,30.4,7.4,9.0,1.2,6.5,3.9,7.74,-23.7,-0.8
319,"Michael Carter-Williams, CHI",13,21.2,.407,19.0,15.0,22.3,4.2,18.5,11.2,7.70,-13.6,-0.5
320,"Dante Cunningham, NO",27,25.0,.500,8.7,8.7,10.2,2.9,14.8,8.8,7.67,-38.6,-1.3
321,"Brandon Ingram, LAL",43,27.6,.462,16.4,10.9,15.1,2.6,13.8,8.0,7.47,-53.7,-1.8
322,"Ben McLemore, SAC",31,15.5,.485,8.8,10.2,17.3,1.4,8.1,4.7,7.40,-22.2,-0.7
323,"Luke Babbitt, MIA",32,15.6,.494,8.1,5.8,13.2,1.3,12.6,6.8,7.16,-24.9,-0.8
324,"Richard Jefferson, CLE",39,19.2,.531,14.2,10.1,11.9,1.8,10.8,6.4,7.15,-37.4,-1.2
325,"Boris Diaw, UTAH",32,18.8,.518,25.7,18.7,15.0,3.5,9.1,6.4,7.14,-31.0,-1.0
326,"Wade Baldwin IV, MEM",23,13.2,.417,27.4,17.1,19.5,2.5,10.0,6.2,7.13,-17.6,-0.6
327,"Tomas Satoransky, WSH",23,14.7,.441,33.0,13.9,13.9,3.0,8.6,5.8,7.03,-17.6,-0.6
328,"Randy Foye, BKN",26,16.8,.489,24.8,15.7,15.2,0.5,13.6,7.1,7.00,-22.8,-0.8
329,"Lavoy Allen, IND",30,12.1,.341,29.4,8.1,8.6,9.5,11.5,10.5,6.95,-24.6,-0.8
330,"C.J. Watson, ORL",29,12.5,.406,28.9,7.8,12.7,1.2,9.3,5.1,6.75,-23.0,-0.8
331,"Lance Thomas, NY",29,18.1,.487,8.9,8.9,12.7,3.0,8.4,5.7,6.64,-30.2,-1.0
332,"DeAndre Liggins, CLE",31,16.6,.477,20.9,17.2,10.8,2.4,9.8,6.2,6.59,-30.1,-1.0
333,"Dragan Bender, PHX",32,12.2,.488,8.5,17.1,13.1,3.0,15.4,9.0,6.32,-30.1,-1.0
334,"Semaj Christon, OKC",36,15.4,.378,33.4,9.7,14.9,2.5,7.4,5.0,6.30,-39.0,-1.3
335,"Isaiah Whitehead, BKN",31,22.6,.473,22.6,18.7,17.6,1.4,10.5,6.0,6.29,-49.2,-1.6
336,"Denzel Valentine, CHI",24,11.8,.458,12.9,10.3,15.4,0.4,14.2,7.2,6.19,-18.2,-0.6
337,"Patrick McCaw, GS",30,11.5,.490,21.2,14.7,11.7,2.7,6.8,4.9,5.85,-26.4,-0.9
338,"Darrun Hilliard, DET",25,11.2,.419,15.9,13.1,19.0,0.8,8.6,4.6,4.02,-27.0,-0.9
