RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
158,"Sam Dekker, HOU",42,18.6,.553,14.1,8.6,14.7,8.7,15.5,12.1,14.25,43.8,1.5
159,"Seth Curry, DAL",35,26.2,.566,21.3,9.1,17.8,1.6,8.6,4.8,14.24,51.2,1.7
160,"Derrick Favors, UTAH",26,22.7,.480,8.5,10.5,19.9,7.7,21.7,15.1,14.23,24.1,0.8
,"Thaddeus Young, IND",39,31.3,.580,11.8,12.2,15.4,5.3,16.3,10.9,14.23,49.8,1.7
162,"Trevor Ariza, HOU",42,34.2,.575,15.3,6.1,14.3,2.4,14.6,8.5,14.21,79.6,2.7
163,"Robin Lopez, CHI",40,28.0,.496,6.6,9.8,15.3,12.6,14.4,13.5,14.11,58.5,2.0
164,"Leandro Barbosa, PHX",38,13.3,.530,16.8,6.2,18.6,1.9,10.1,5.9,14.05,26.7,0.9
,"Salah Mejri, DAL",34,13.1,.668,9.9,20.9,8.1,10.4,29.4,19.2,14.05,22.9,0.8
166,"Justin Anderson, DAL",36,16.1,.507,7.6,10.2,20.9,6.2,19.2,12.3,14.03,30.6,1.0
167,"Jordan Clarkson, LAL",43,27.2,.526,12.6,10.4,22.4,3.0,8.6,5.7,13.99,52.2,1.7
168,"Ryan Anderson, HOU",42,31.0,.584,6.9,6.1,16.6,5.9,12.6,9.3,13.96,47.8,1.6
169,"Norman Powell, TOR",35,14.1,.570,13.9,8.7,17.0,0.9,11.2,6.0,13.94,25.3,0.8
170,"Luis Scola, BKN",29,13.1,.545,13.8,14.8,17.8,12.5,18.6,15.6,13.85,13.3,0.4
171,"Gorgui Dieng, MIN",40,32.8,.557,15.8,12.3,14.4,7.9,19.3,13.4,13.83,45.6,1.5
172,"Victor Oladipo, OKC",32,33.9,.543,14.0,8.6,20.3,2.1,12.1,7.2,13.82,53.8,1.8
173,"Tyler Zeller, BOS",27,12.1,.489,16.3,6.8,16.1,9.8,17.1,13.4,13.81,15.7,0.5
174,"Juancho Hernangomez, DEN",26,10.2,.591,12.0,7.6,12.5,5.8,19.6,12.7,13.80,9.1,0.3
175,"Bojan Bogdanovic, BKN",39,26.8,.577,10.7,9.5,20.2,1.7,11.1,6.5,13.74,50.5,1.7
176,"DeMarre Carroll, TOR",34,26.5,.573,8.2,6.5,14.9,3.4,12.5,7.9,13.68,42.7,1.4
177,"Joffrey Lauvergne, OKC",35,13.8,.533,14.6,9.3,16.6,8.0,19.4,13.8,13.64,22.0,0.7
,"Patrick Beverley, HOU",28,31.0,.551,31.4,10.5,13.8,6.2,15.6,10.9,13.64,34.2,1.1
179,"D.J. Augustin, ORL",41,20.4,.555,25.8,9.3,20.1,0.6,7.1,3.8,13.53,31.6,1.1
,"Roy Hibbert, CHA",34,16.0,.591,9.4,13.0,13.2,8.8,15.5,12.2,13.53,23.7,0.8
,"Maurice Harkless, POR",40,30.8,.579,7.4,10.8,15.2,6.0,12.3,9.1,13.53,55.7,1.9
182,"Brandon Knight, PHX",38,22.3,.503,15.5,10.9,25.5,2.6,9.7,6.1,13.49,31.6,1.1
,"Aaron Gordon, ORL",41,27.0,.517,13.1,8.0,19.0,5.1,13.9,9.4,13.49,32.8,1.1
184,"Trey Lyles, UTAH",41,20.1,.514,11.8,10.5,20.8,5.6,16.5,11.4,13.48,24.3,0.8
185,"Devin Booker, PHX",38,33.7,.513,12.5,11.0,26.4,1.7,7.7,4.6,13.44,56.3,1.9
186,"Sean Kilpatrick, BKN",39,27.1,.556,13.5,13.8,22.9,1.4,15.2,8.4,13.39,45.6,1.5
187,"Rodney Hood, UTAH",36,29.2,.524,11.9,7.2,22.0,1.2,12.5,7.2,13.27,43.5,1.4
188,"Nikola Mirotic, CHI",36,23.3,.517,7.4,10.4,18.6,3.5,22.1,12.7,13.26,22.0,0.7
,"Joe Ingles, UTAH",41,20.3,.624,26.5,11.6,14.1,1.2,13.1,7.5,13.26,34.2,1.1
190,"Ty Lawson, SAC",38,25.2,.519,29.0,12.5,18.8,3.1,9.5,6.3,13.24,31.9,1.1
191,"Michael Kidd-Gilchrist, CHA",39,29.4,.508,12.1,7.2,13.7,7.5,18.9,13.2,13.17,45.8,1.5
192,"Brandon Jennings, NY",40,23.4,.516,32.5,13.4,20.0,1.8,10.5,6.2,13.15,30.1,1.0
193,"Thabo Sefolosha, ATL",36,25.8,.528,16.9,10.7,13.4,3.5,16.1,9.8,13.02,35.0,1.2
194,"Bobby Portis, CHI",26,11.9,.530,11.0,12.4,16.7,11.2,18.3,14.7,13.01,6.9,0.2
195,"Marco Belinelli, CHA",35,24.8,.568,15.0,7.6,17.3,0.9,10.5,5.8,12.91,31.3,1.0
196,"Troy Daniels, MEM",31,19.8,.557,7.4,6.2,20.8,1.6,7.3,4.4,12.89,21.9,0.7
197,"Willie Cauley-Stein, SAC",32,11.3,.549,6.5,11.1,16.6,8.0,13.6,10.8,12.85,12.1,0.4
198,"Timofey Mozgov, LAL",42,21.3,.555,8.0,13.5,16.0,10.0,14.8,12.3,12.75,28.7,1.0
199,"Davis Bertans, SA",32,10.2,.634,16.7,10.0,13.4,2.6,10.3,6.6,12.67,10.5,0.4
200,"James Ennis, MEM",28,25.5,.607,12.9,10.5,13.2,5.6,14.3,9.8,12.56,21.9,0.7
201,"Shabazz Muhammad, MIN",36,18.3,.553,4.3,9.3,18.1,5.7,11.8,8.7,12.44,19.1,0.6
202,"Markieff Morris, WSH",37,31.3,.511,10.2,11.2,19.5,4.9,17.2,11.0,12.42,15.9,0.5
203,"Marvin Williams, CHA",34,27.2,.516,10.1,6.0,16.7,4.1,16.6,10.4,12.38,12.1,0.4
204,"Ramon Sessions, CHA",40,16.4,.488,27.0,9.4,20.1,1.7,8.0,4.8,12.37,13.4,0.4
,"JaMychal Green, MEM",41,29.4,.555,11.9,11.7,13.5,8.0,21.1,14.3,12.37,15.7,0.5
206,"Ish Smith, DET",41,24.8,.449,32.5,9.2,20.2,1.3,11.2,6.1,12.35,20.5,0.7
207,"Evan Turner, POR",39,25.7,.503,23.2,11.2,18.4,2.3,15.0,8.6,12.28,26.5,0.9
208,"T.J. McConnell, PHI",37,22.3,.471,44.1,13.8,15.3,2.3,11.3,6.8,12.21,14.9,0.5
209,"Aaron Brooks, IND",36,15.1,.535,26.5,13.0,19.8,2.3,5.9,4.1,12.20,9.7,0.3
210,"Anthony Tolliver, SAC",27,21.0,.617,13.1,7.7,12.0,5.3,14.4,9.8,12.17,5.6,0.2
211,"Frank Kaminsky III, CHA",38,24.5,.479,14.6,7.5,20.1,4.1,15.6,9.9,12.16,21.7,0.7
212,"Wesley Matthews, DAL",38,35.7,.529,12.5,8.1,19.5,0.6,9.9,4.9,12.13,33.1,1.1
213,"Justin Hamilton, BKN",34,20.4,.527,10.8,9.7,14.1,6.1,17.4,11.8,12.11,15.6,0.5
214,"Sergio Rodriguez, PHI",33,25.6,.493,34.0,13.9,21.0,1.8,10.0,5.9,12.07,13.5,0.4
215,"Danny Green, SA",31,25.7,.629,20.9,11.0,12.5,1.3,11.7,6.7,11.96,17.4,0.6
216,"Langston Galloway, NO",39,21.3,.506,11.8,5.9,19.4,1.9,9.5,5.6,11.95,17.9,0.6
217,"Wayne Ellington, MIA",21,26.5,.534,12.7,3.2,16.9,0.8,6.2,3.4,11.93,11.8,0.4
218,"Garrett Temple, SAC",39,25.7,.573,21.5,10.4,13.1,2.7,9.6,6.1,11.84,20.1,0.7
219,"Gerald Henderson, PHI",33,24.7,.554,14.6,7.6,16.2,1.8,9.7,5.7,11.71,14.7,0.5
,"Austin Rivers, LAC",39,26.0,.546,17.9,9.4,18.4,1.2,7.0,4.2,11.71,10.7,0.4
221,"Jared Dudley, PHX",30,22.7,.625,17.8,13.9,14.0,2.5,14.8,8.5,11.69,12.1,0.4
,"Omri Casspi, SAC",22,18.0,.511,15.4,10.0,15.6,5.8,20.6,13.1,11.69,7.0,0.2
223,"Marcus Morris, DET",41,32.1,.497,11.9,6.8,19.3,2.5,11.8,7.0,11.67,3.4,0.1
224,"Justin Holiday, NY",40,18.9,.538,13.1,10.5,16.0,2.3,13.8,8.0,11.63,12.7,0.4
