Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
17689-58378,C,Jakob,,Poeltl,6.818181818,22,3500,TOR@BKN,TOR,BKN,,
17689-66064,SG,Malik,,Beasley,4.336363706,11,3500,DEN@LAL,DEN,LAL,,
17689-55058,SF,Bruno,,Caboclo,2.087500095,8,3500,TOR@BKN,TOR,BKN,,
17689-9752,PF,Jordan,,Hill,4.920000076,5,3500,MIN@SA,MIN,SA,,
17689-9758,SG,Danny,,Green,15.921875,32,3500,MIN@SA,SA,MIN,,
17689-71469,SG,Nicolas,,Brussino,4.410714286,28,3500,DAL@CHI,DAL,CHI,,
17689-71468,PG,Jonathan,,Gibson,9.788234935,17,3500,DAL@CHI,DAL,CHI,,
17689-12344,PG,Greivis,,Vasquez,6.633333206,3,3500,TOR@BKN,BKN,TOR,O,Ankle
17689-9786,PG,John,,Lucas III,1.5,5,3500,MIN@SA,MIN,SA,,
17689-66108,PG,Jamal,,Murray,13.72051219,39,3500,DEN@LAL,DEN,LAL,,
17689-12354,C,Cole,,Aldrich,8.908108273,37,3500,MIN@SA,MIN,SA,,
17689-9542,PF,Luis,,Scola,11.36333313,30,3500,TOR@BKN,BKN,TOR,,
17689-12368,PF,Nemanja,,Bjelica,12.23076923,39,3500,MIN@SA,MIN,SA,,
17689-59483,PF,Chris,,McCullough,4.836363706,11,3500,TOR@BKN,BKN,TOR,,
17689-9568,SF,Metta,,World Peace,2.643749952,16,3500,DEN@LAL,LAL,DEN,,
17689-15469,PF,Quincy,,Acy,5.666666667,9,3500,TOR@BKN,BKN,TOR,,
17689-23920,PF,Anthony,,Bennett,10.02608722,23,3500,TOR@BKN,BKN,TOR,,
17689-15474,PG,Pierre,,Jackson,4.779999924,5,3500,DAL@CHI,DAL,CHI,,
17689-15730,PF,Thomas,,Robinson,11.77741955,31,3500,DEN@LAL,LAL,DEN,,
17689-74101,PG,Bobby,,Brown,1.030000019,10,3500,HOU@MIA,HOU,MIA,,
17689-9589,PF,Udonis,,Haslem,5.32857132,14,3500,HOU@MIA,MIA,HOU,,
17689-60021,PF,Pascal,,Siakam,11.55675692,37,3500,TOR@BKN,TOR,BKN,,
17689-67708,SG,Dejounte,,Murray,4.515000153,20,3500,MIN@SA,SA,MIN,O,Ankle
17689-40830,PG,Delon,,Wright,7.403703478,27,3500,TOR@BKN,TOR,BKN,GTD,Shoulder
17689-15744,SF,Rodney,,McGruder,13.19459492,37,3500,HOU@MIA,MIA,HOU,,
17689-18821,SF,Jonathon,,Simmons,12.50500031,40,3500,MIN@SA,SA,MIN,,
17689-9606,SF,Corey,,Brewer,8.953488372,43,3500,HOU@MIA,HOU,MIA,,
