Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
17633-15417,SF,Solomon,,Hill,14.02162129,37,3500,NO@BKN,NO,BKN,,
17633-16188,SF,Anthony,,Brown,9.022221883,9,3500,NO@BKN,NO,BKN,,
17633-9542,PF,Luis,,Scola,11.74642835,28,3500,NO@BKN,BKN,NO,,
17633-15947,SG,Reggie,,Bullock,7.125,4,3500,DET@GS,DET,GS,O,Knee
17633-9804,C,Alexis,,Ajinca,11.825,20,3500,NO@BKN,NO,BKN,,
17633-15955,PF,James Michael,,McAdoo,2.660000102,15,3500,DET@GS,GS,DET,,
17633-17747,SG,Ian,,Clark,11.0583335,36,3500,DET@GS,GS,DET,,
17633-59483,PF,Chris,,McCullough,5.020000076,10,3500,NO@BKN,BKN,NO,,
17633-11100,SG,Reggie,,Williams,8.840000153,5,3500,NO@BKN,NO,BKN,,
17633-9567,SG,Sasha,,Vujacic,5.036363775,22,3500,CHI@NY,NY,CHI,,
17633-58463,PG,Tyler,,Ulis,7.043478261,23,3500,DAL@PHO,PHO,DAL,,
17633-9568,SF,Metta,,World Peace,2.560000102,15,3500,LAL@SA,LAL,SA,,
17633-15469,PF,Quincy,,Acy,3.685714177,7,3500,NO@BKN,BKN,NO,,
17633-23920,PF,Anthony,,Bennett,10.02608722,23,3500,NO@BKN,BKN,NO,,
17633-15474,PG,Pierre,,Jackson,5.974999905,4,3500,DAL@PHO,DAL,PHO,,
17633-41082,C,Damian,,Jones,-2,1,3500,DET@GS,GS,DET,,
17633-15996,PG,Jerian,,Grant,10.1516133,31,3500,CHI@NY,CHI,NY,,
17633-67708,SG,Dejounte,,Murray,4.057894657,19,3500,LAL@SA,SA,LAL,,
17633-18821,SF,Jonathon,,Simmons,12.31578947,38,3500,LAL@SA,SA,LAL,,
17633-17542,C,Alan,,Williams,9.092857361,14,3500,DAL@PHO,PHO,DAL,,
17633-12423,C,Omer,,Asik,11.38214329,28,3500,NO@BKN,NO,BKN,,
17633-58247,PG,Isaiah,,Whitehead,14.55333354,30,3500,NO@BKN,BKN,NO,,
17633-9613,PG,Devin,,Harris,9.995454268,22,3500,DAL@PHO,DAL,PHO,,
17633-66455,PF,Henry,,Ellenson,2.409090909,11,3500,DET@GS,DET,GS,,
17633-63127,C,Guillermo,,Hernangomez,11.99393902,33,3500,CHI@NY,NY,CHI,,
17633-66968,SF,Derrick,,Jones Jr.,1.5,2,3500,DAL@PHO,PHO,DAL,,
17633-9629,PF,David,,West,11.7871798,39,3500,DET@GS,GS,DET,,
17633-48799,PF,Maurice,,Ndour,4.881249905,16,3500,CHI@NY,NY,CHI,,
17633-70819,PF,Dragan,,Bender,6.987096971,31,3500,DAL@PHO,PHO,DAL,,
17633-23716,SF,Kyle,,Anderson,8.487878973,33,3500,LAL@SA,SA,LAL,,
