Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
17888-9488,SF,LeBron,,James,47.9488878,45,11500,CLE@NY,CLE,NY,,
17888-15755,PF,Anthony,,Davis,50.70217497,46,11200,NO@WAS,NO,WAS,,
17888-12362,C,DeMarcus,,Cousins,49.53265505,49,11100,GS@SAC,SAC,GS,,
17888-9646,SF,Kevin,,Durant,46.76200195,50,10700,GS@SAC,GS,SAC,,
17888-12332,PG,John,,Wall,45,47,10600,NO@WAS,WAS,NO,,
17888-40199,SG,Giannis,,Antetokounmpo,46.06666565,48,10500,MIL@PHO,MIL,PHO,,
17888-58462,C,Karl-Anthony,,Towns,43.5,50,10400,MEM@MIN,MIN,MEM,,
17888-55062,PF,Nikola,,Jokic,33.41904704,42,10300,DEN@SA,DEN,SA,,
17888-14513,SF,Kawhi,,Leonard,40.33555501,45,9700,DEN@SA,SA,DEN,,
17888-9524,PG,Stephen,,Curry,40.82040717,49,9700,GS@SAC,GS,SAC,,
17888-12355,PG,Eric,,Bledsoe,37.42399902,50,9500,MIL@PHO,PHO,MIL,,
17888-12363,C,Hassan,,Whiteside,37.74222276,45,8800,PHI@MIA,MIA,PHI,,
17888-12341,SF,Paul,,George,35.97857085,42,8700,DET@IND,IND,DET,,
17888-9581,C,Marc,,Gasol,37.37,50,8700,MEM@MIN,MEM,MIN,,
17888-49111,C,Joel,,Embiid,35.69677341,31,8700,PHI@MIA,PHI,MIA,GTD,Knee
17888-14498,PG,Kyrie,,Irving,37.3255814,43,8600,CLE@NY,CLE,NY,,
17888-15557,C,Andre,,Drummond,36.48163215,49,8500,DET@IND,DET,IND,,
17888-9508,SF,Carmelo,,Anthony,35.19600098,50,8100,CLE@NY,NY,CLE,,
17888-9673,PG,Goran,,Dragic,33.49761963,42,8100,PHI@MIA,MIA,PHI,,
17888-9663,PG,Jrue,,Holiday,32.38285784,35,8000,NO@WAS,NO,WAS,,
17888-9729,PF,Paul,,Millsap,35.98297768,47,7900,ORL@ATL,ATL,ORL,,
17888-40203,C,Rudy,,Gobert,34.17600098,50,7900,CHA@UTA,UTA,CHA,,
17888-9575,PG,Mike,,Conley,33.9125,40,7800,MEM@MIN,MEM,MIN,,
17888-9688,PF,LaMarcus,,Aldridge,31.63409146,44,7800,DEN@SA,SA,DEN,GTD,Knee
17888-15860,PF,Draymond,,Green,35.9893617,47,7800,GS@SAC,GS,SAC,GTD,Shoulder
17888-12366,SF,Gordon,,Hayward,34.41395462,43,7600,CHA@UTA,UTA,CHA,,
17888-9874,PF,Kevin,,Love,36.16341344,41,7600,CLE@NY,CLE,NY,GTD,Back
17888-14507,PG,Kemba,,Walker,36.61632553,49,7600,CHA@UTA,CHA,UTA,GTD,Illness
17888-9446,PG,Jeff,,Teague,34.09796018,49,7600,DET@IND,IND,DET,,
17888-42550,PF,Jabari,,Parker,32.99183624,49,7400,MIL@PHO,MIL,PHO,,
17888-9660,C,Dwight,,Howard,33.53777669,45,7400,ORL@ATL,ATL,ORL,,
17888-49116,SF,Andrew,,Wiggins,30.62600098,50,7300,MEM@MIN,MIN,MEM,,
17888-14511,PF,Markieff,,Morris,26.89166768,48,7200,NO@WAS,WAS,NO,,
17888-14514,C,Nikola,,Vucevic,32.23265356,49,7200,ORL@ATL,ORL,ATL,,
17888-16220,SG,Dion,,Waiters,26.15666707,30,7200,PHI@MIA,MIA,PHI,,
17888-9809,SG,Nicolas,,Batum,32.91063934,47,7100,CHA@UTA,CHA,UTA,,
17888-15595,SG,Bradley,,Beal,31.44222276,45,7000,NO@WAS,WAS,NO,,
17888-58460,SG,Devin,,Booker,28.79591837,49,6900,MIL@PHO,PHO,MIL,,
17888-14496,PG,Ricky,,Rubio,26.87954434,44,6900,MEM@MIN,MIN,MEM,,
17888-14521,PF,Kenneth,,Faried,23.46888835,45,6900,DEN@SA,DEN,SA,,
17888-9637,SF,Danilo,,Gallinari,26.87272783,44,6900,DEN@SA,DEN,SA,O,Groin
17888-14509,SG,Klay,,Thompson,29.7367342,49,6700,GS@SAC,GS,SAC,,
17888-19138,PG,Elfrid,,Payton,27.40000094,52,6700,ORL@ATL,ORL,ATL,,
17888-58253,C,Myles,,Turner,30.78958384,48,6700,DET@IND,IND,DET,,
17888-9661,C,Marcin,,Gortat,29.41428671,49,6700,NO@WAS,WAS,NO,,
17888-63122,PF,Kristaps,,Porzingis,32.6837215,43,6600,CLE@NY,NY,CLE,,
17888-9475,PG,Derrick,,Rose,28.88139592,43,6500,CLE@NY,NY,CLE,GTD,Ankle
17888-9593,PG,Brandon,,Jennings,19.2254902,51,6500,CLE@NY,NY,CLE,,
17888-20491,SF,Robert,,Covington,24.38863581,44,6400,PHI@MIA,PHI,MIA,GTD,Hand
17888-15628,SF,Otto,,Porter,27.95918367,49,6400,NO@WAS,WAS,NO,,
17888-9957,PF,Serge,,Ibaka,28.47843185,51,6200,ORL@ATL,ORL,ATL,,
17888-9570,C,Pau,,Gasol,27.17436023,39,6200,DEN@SA,SA,DEN,O,Finger
17888-14523,PG,Reggie,,Jackson,26.59310387,29,6100,DET@IND,DET,IND,,
17888-9966,PF,James,,Johnson,24.10444336,45,6100,PHI@MIA,MIA,PHI,,
17888-40201,PG,Dennis,,Schroder,28.75399902,50,6100,ORL@ATL,ATL,ORL,,
17888-9579,PF,Zach,,Randolph,26.90888943,45,6100,MEM@MIN,MEM,MIN,,
17888-9598,PF,Ersan,,Ilyasova,25.16122499,49,6100,PHI@MIA,PHI,MIA,,
17888-15636,SG,Kentavious,,Caldwell-Pope,25.05777724,45,6000,DET@IND,DET,IND,,
17888-40783,SG,Zach,,LaVine,27.82978723,47,6000,MEM@MIN,MIN,MEM,GTD,Knee
17888-14518,PF,Tobias,,Harris,26.48,50,5900,DET@IND,DET,IND,,
17888-23825,PF,Nerlens,,Noel,18.91363664,22,5900,PHI@MIA,PHI,MIA,GTD,Illness
17888-9636,SF,Wilson,,Chandler,27.6511122,45,5900,DEN@SA,DEN,SA,,
17888-18600,PG,Tyler,,Johnson,26.60952323,42,5800,PHI@MIA,MIA,PHI,,
17888-9703,PG,George,,Hill,28.71923124,26,5800,CHA@UTA,UTA,CHA,,
17888-12337,C,Greg,,Monroe,24.07499949,48,5700,MIL@PHO,MIL,PHO,,
17888-18393,PG,T.J.,,McConnell,19.55833308,48,5700,PHI@MIA,PHI,MIA,,
17888-9638,PF,David,,Lee,16.97499975,48,5600,DEN@SA,SA,DEN,,
17888-9473,C,Tyson,,Chandler,24.46097621,41,5500,MIL@PHO,PHO,MIL,,
17888-15757,PF,Terrence,,Jones,22.85208384,48,5500,NO@WAS,NO,WAS,,
17888-15771,PF,Gorgui,,Dieng,25.52,50,5500,MEM@MIN,MIN,MEM,,
17888-9666,PF,Thaddeus,,Young,24.4755112,49,5500,DET@IND,IND,DET,GTD,Wrist
17888-14501,C,Tristan,,Thompson,23.18124898,48,5400,CLE@NY,CLE,NY,,
17888-15691,C,Cody,,Zeller,23.32368389,38,5400,CHA@UTA,CHA,UTA,O,Quadriceps
17888-63124,PG,Emmanuel,,Mudiay,22.0860468,43,5300,DEN@SA,DEN,SA,,
17888-63127,C,Guillermo,,Hernangomez,14.61627907,43,5300,CLE@NY,NY,CLE,,
17888-16233,SG,Josh,,Richardson,20.75357056,28,5300,PHI@MIA,MIA,PHI,O,Ankle
