"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17911-15767","PF","Kyle","","Wiltjer","1.9333332909478083","9","3500","ORL@HOU","HOU","ORL","","","",""
"17911-66966","C","Stephen","","Zimmerman Jr.","4.037499904632568","8","3500","ORL@HOU","ORL","HOU","","","",""
"17911-16411","SG","C.J.","","Wilcox","2.393749952316284","16","3500","ORL@HOU","ORL","HOU","GTD","Achilles","",""
"17911-42661","PF","Noah","","Vonleh","9.081818320534445","44","3500","POR@DAL","POR","DAL","","","",""
"17911-42664","SG","Aaron","","Harrison","1.8200000762939452","5","3500","BKN@CHA","CHA","BKN","","","",""
"17911-14505","C","Bismack","","Biyombo","18.26346177321214","52","3500","ORL@HOU","ORL","HOU","","","",""
"17911-15532","SG","K.J.","","McDaniels","4.837037263093172","27","3500","ORL@HOU","HOU","ORL","","","",""
"17911-71469","SG","Nicolas","","Brussino","4.411764705882353","34","3500","POR@DAL","DAL","POR","","","",""
"17911-71468","PG","Jonathan","","Gibson","9.788234935087317","17","3500","POR@DAL","DAL","POR","","","",""
"17911-9648","SF","Jeff","","Green","15.203845684344952","52","3500","ORL@HOU","ORL","HOU","","","",""
"17911-18352","PG","Ray","","McCallum","7.253658387719131","41","3500","BKN@CHA","CHA","BKN","","","",""
"17911-15669","PF","Meyers","","Leonard","11.155555555555555","45","3500","POR@DAL","POR","DAL","","","",""
"17911-12344","PG","Greivis","","Vasquez","6.633333206176758","3","3500","BKN@CHA","BKN","CHA","","","",""
"17911-16188","SF","Anthony","","Brown","9.145454406738281","11","3500","ORL@HOU","ORL","HOU","","","",""
"17911-23744","SF","Justin","","Anderson","12.331914374168884","47","3500","POR@DAL","DAL","POR","","","",""
"17911-42689","PG","Tyler","","Ennis","3.868965412008351","29","3500","ORL@HOU","HOU","ORL","","","",""
"17911-9542","PF","Luis","","Scola","11.357142857142858","35","3500","BKN@CHA","BKN","CHA","","","",""
"17911-20806","SF","Treveon","","Graham","3.0058822631835938","17","3500","BKN@CHA","CHA","BKN","","","",""
"17911-23750","C","Mike","","Tobey","0","0","3500","BKN@CHA","CHA","BKN","","","",""
"17911-15560","PG","Shabazz","","Napier","6.096666463216146","30","3500","POR@DAL","POR","DAL","","","",""
"17911-16331","C","Festus","","Ezeli","16.91304347826087","46","3500","POR@DAL","POR","DAL","O","Knee","",""
"17911-12365","PF","Ed","","Davis","11.880952380952381","42","3500","POR@DAL","POR","DAL","","","",""
"17911-23757","PG","Brian","","Roberts","4.679999796549479","15","3500","BKN@CHA","CHA","BKN","","","",""
"17911-55376","SF","Damjan","","Rudez","4.018750190734863","32","3500","ORL@HOU","ORL","HOU","","","",""
